REGION,Year,Home,Value,Year_fct
New York City,2021,UN0HELTERED,1427,2021
New York City,2021,DOUBLED UP,17759,2021
New York City,2021,HOTEL_MOTEL,69,2021
New York City,2021,0HELTERED,3552,2021
New York City,2021,UN0HELTERED,861,2021
New York City,2021,DOUBLED UP,1701,2021
New York City,2021,HOTEL_MOTEL,12,2021
New York City,2021,0HELTERED,490,2021
New York City,2021,UN0HELTERED,210,2021
Western,2021,DOUBLED UP,509,2021
Western,2021,HOTEL_MOTEL,60,2021
Western,2021,0HELTERED,48,2021
Western,2021,UN0HELTERED,7,2021
Mohawk,2021,DOUBLED UP,376,2021
Mohawk,2021,HOTEL_MOTEL,56,2021
Mohawk,2021,0HELTERED,46,2021
Central,2021,DOUBLED UP,1696,2021
Central,2021,HOTEL_MOTEL,89,2021
Central,2021,0HELTERED,234,2021
Central,2021,UN0HELTERED,5,2021
Finger Lakes,2021,DOUBLED UP,245,2021
Finger Lakes,2021,HOTEL_MOTEL,67,2021
Finger Lakes,2021,0HELTERED,22,2021
Hudson Valley,2021,DOUBLED UP,1246,2021
Hudson Valley,2021,HOTEL_MOTEL,141,2021
Hudson Valley,2021,0HELTERED,204,2021
Hudson Valley,2021,UN0HELTERED,12,2021
Finger Lakes,2021,DOUBLED UP,61,2021
Finger Lakes,2021,HOTEL_MOTEL,26,2021
