County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
STEUBEN,STEUBEN,19,24,26,23,26,10,19,7,23,24,14,36,231,44,0,0,2017
SUFFOLK,SUFFOLK,328,423,388,430,438,416,400,366,400,387,409,483,3530,212,1689,21,2017
SULLIVAN,SULLIVAN,34,41,28,32,31,30,34,15,26,29,27,22,264,76,0,0,2017
TIOGA,TIOGA,9,0,5,0,0,8,0,6,0,7,0,5,63,0,0,0,2017
TOMPKINS,TOMPKINS,19,14,17,18,12,13,13,10,19,17,12,17,167,11,35,0,2017
ULSTER,ULSTER,45,51,47,43,61,41,36,35,53,55,49,42,305,162,0,0,2017
WARREN,WARREN,23,21,14,20,15,24,15,15,16,10,23,19,203,27,0,0,2017
WASHINGTON,WASHINGTON,11,14,22,16,13,13,11,12,18,17,17,18,160,20,14,5,2017
WAYNE,WAYNE,16,27,27,20,27,18,21,14,27,18,23,32,237,37,35,0,2017
WESTCHESTER,WESTCHESTER,228,225,221,199,200,197,212,168,231,212,169,184,1876,0,887,0,2017
WYOMING,WYOMING,0,5,6,0,8,5,0,0,0,6,0,0,44,6,0,0,2017
YATES,YATES,6,6,0,0,0,0,6,0,5,10,0,7,61,0,0,0,2017
ALBANY,ALBANY,86,98,94,87,94,71,66,70,86,76,56,74,723,75,360,0,2018
ALLEGANY,ALLEGANY,10,0,0,0,5,0,6,0,9,6,0,10,60,0,5,0,2018
BROOME,BROOME,71,56,67,56,50,47,37,51,45,38,43,55,507,0,140,0,2018
CATTARAUGUS,CATTARAUGUS,9,5,8,5,0,9,6,9,0,9,9,17,80,0,21,0,2018
CAYUGA,CAYUGA,15,17,16,15,15,8,14,7,8,0,6,14,84,36,50,0,2018
CHAUTAUQUA,CHAUTAUQUA,30,22,33,33,18,20,26,16,25,20,18,25,252,0,44,0,2018
CHEMUNG,CHEMUNG,12,10,7,11,10,5,5,8,8,0,8,5,83,16,0,0,2018
CHENANGO,CHENANGO,6,9,0,0,9,5,0,8,0,0,7,11,83,0,0,0,2018
CLINTON,CLINTON,27,28,20,23,15,18,27,20,17,19,10,16,213,35,27,0,2018
COLUMBIA,COLUMBIA,14,14,16,15,13,23,13,7,20,16,10,19,94,37,11,59,2018
CORTLAND,CORTLAND,8,12,6,5,6,12,12,8,9,7,8,10,45,0,44,0,2018
DELAWARE,DELAWARE,0,0,0,5,0,0,0,0,0,0,0,0,30,0,0,0,2018
DUTCHESS,DUTCHESS,71,67,70,63,68,80,61,65,78,70,60,74,516,114,280,0,2018
ERIE,ERIE,160,155,145,160,148,137,148,132,161,125,101,155,1623,0,345,0,2018
ESSEX,ESSEX,0,0,0,0,0,0,0,0,0,0,0,5,19,0,5,0,2018
FRANKLIN,FRANKLIN,20,11,11,12,7,6,12,10,8,9,6,5,110,0,16,0,2018
FULTON,FULTON,6,13,9,5,0,10,7,7,11,5,8,0,97,0,5,0,2018
GENESEE,GENESEE,15,13,9,17,9,6,11,7,8,5,10,8,101,36,8,0,2018
GREENE,GREENE,8,5,0,6,7,6,0,8,7,0,7,8,46,26,14,0,2018
HAMILTON,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
HERKIMER,HERKIMER,0,0,0,0,0,0,0,0,5,0,0,0,44,0,0,0,2018
JEFFERSON,JEFFERSON,23,16,16,17,24,18,13,12,17,14,10,17,173,25,18,0,2018
LEWIS,LEWIS,7,5,5,6,0,0,0,0,0,6,5,5,56,0,0,0,2018
LIVINGSTON,LIVINGSTON,11,24,10,14,13,11,7,13,9,12,11,12,138,14,16,0,2018
MADISON,MADISON,14,10,10,19,0,6,14,13,10,6,10,0,126,0,11,0,2018
MONROE,MONROE,285,278,257,251,231,243,220,180,213,182,136,184,2759,87,511,50,2018
MONTGOMERY,MONTGOMERY,25,24,19,14,18,20,10,16,12,9,12,11,200,31,0,0,2018
NASSAU,NASSAU,264,270,296,273,258,215,207,198,213,211,275,295,2676,343,386,5,2018
NEW YORK,NEW YORK,1518,1495,1460,1455,1270,1335,1223,1095,1836,1562,1291,1291,12190,88,6231,1350,2018
BRONX,BRONX,3462,3547,3473,3413,3170,3088,2822,2681,2729,2166,1611,1456,24853,102,13082,1685,2018
KINGS,KINGS,2630,2700,2654,2610,2529,2405,2011,1892,2263,2013,1504,1565,19087,120,10413,1538,2018
QUEENS,QUEENS,1748,1766,1813,1824,1830,1654,1410,1268,1624,1225,892,851,15817,61,4154,756,2018
RICHMOND,RICHMOND,214,198,238,218,201,183,130,136,170,196,163,136,1803,13,591,151,2018
NIAGARA,NIAGARA,37,40,31,28,34,32,27,27,20,42,34,43,372,39,47,0,2018
ONEIDA,ONEIDA,43,53,41,49,31,33,24,21,49,34,31,60,483,0,41,0,2018
ONONDAGA,ONONDAGA,183,178,204,163,191,135,147,161,219,148,119,147,1851,49,340,5,2018
ONTARIO,ONTARIO,35,27,32,36,24,31,25,19,14,19,20,19,271,67,9,0,2018
ORANGE,ORANGE,186,150,158,156,158,151,141,136,158,138,99,112,1482,274,217,11,2018
ORLEANS,ORLEANS,0,6,0,0,7,0,8,0,5,0,0,7,37,0,22,0,2018
OSWEGO,OSWEGO,62,66,64,69,51,34,46,47,48,59,72,82,692,54,50,0,2018
OTSEGO,OTSEGO,15,8,10,10,10,8,0,0,6,6,7,9,77,16,17,0,2018
PUTNAM,PUTNAM,11,6,6,8,8,6,9,0,6,10,5,7,50,15,23,0,2018
RENSSELAER,RENSSELAER,47,57,55,43,46,40,43,44,35,30,26,35,407,47,162,0,2018
ROCKLAND,ROCKLAND,42,47,59,49,52,69,62,76,135,80,65,76,784,34,58,0,2018
SAINT LAWRENCE,SAINT LAWRENCE,56,38,32,27,39,37,41,29,37,38,38,65,512,0,26,0,2018
SARATOGA,SARATOGA,36,43,30,36,43,43,30,36,37,38,42,46,420,63,35,5,2018
SCHENECTADY,SCHENECTADY,49,49,42,42,48,33,27,31,43,33,26,43,305,18,211,0,2018
SCHOHARIE,SCHOHARIE,0,6,0,5,0,6,6,6,0,0,0,10,30,29,18,0,2018
SCHUYLER,SCHUYLER,0,0,5,0,0,0,0,0,0,0,0,5,18,5,0,0,2018
SENECA,SENECA,11,11,10,6,11,12,7,5,6,10,9,15,103,10,12,0,2018
STEUBEN,STEUBEN,18,20,21,16,15,14,12,13,15,17,18,17,178,46,18,0,2018
SUFFOLK,SUFFOLK,352,333,380,349,375,397,350,352,391,390,343,473,3177,263,1588,18,2018
SULLIVAN,SULLIVAN,41,24,38,25,25,23,26,19,30,23,20,32,248,115,0,0,2018
TIOGA,TIOGA,0,0,0,0,0,0,0,0,0,0,0,0,21,6,8,0,2018
TOMPKINS,TOMPKINS,12,14,15,9,8,12,16,8,13,10,5,14,99,0,43,0,2018
ULSTER,ULSTER,36,59,44,42,40,40,41,45,45,36,43,38,333,149,94,0,2018
WARREN,WARREN,14,18,22,18,19,13,13,10,12,10,12,20,160,34,0,0,2018
WASHINGTON,WASHINGTON,20,12,15,24,21,15,14,12,16,10,17,21,193,27,8,0,2018
WAYNE,WAYNE,20,13,25,21,15,24,23,18,21,24,18,25,231,16,37,0,2018
WESTCHESTER,WESTCHESTER,205,236,206,195,197,186,191,185,199,201,191,184,1755,0,910,0,2018
WYOMING,WYOMING,5,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2018
YATES,YATES,0,6,0,0,0,0,0,0,0,0,0,6,45,0,0,0,2018
ALBANY,ALBANY,91,84,69,83,77,84,66,54,81,76,57,70,760,0,215,0,2019
ALLEGANY,ALLEGANY,0,5,0,0,0,6,0,0,0,7,0,7,48,0,6,0,2019
BROOME,BROOME,49,64,50,65,48,52,47,38,49,43,44,76,509,69,122,0,2019
CATTARAUGUS,CATTARAUGUS,6,6,6,0,7,6,11,6,9,7,8,17,76,0,16,0,2019
CAYUGA,CAYUGA,17,10,15,14,11,7,10,7,13,10,7,12,75,41,40,0,2019
CHAUTAUQUA,CHAUTAUQUA,32,28,21,35,35,21,36,33,34,30,19,25,300,42,59,0,2019
CHEMUNG,CHEMUNG,10,9,5,0,10,9,9,9,7,7,0,12,84,10,9,0,2019
CHENANGO,CHENANGO,5,9,0,0,0,7,0,0,5,0,0,8,57,0,0,0,2019
CLINTON,CLINTON,19,21,13,18,13,12,11,19,17,10,11,11,144,24,27,0,2019
COLUMBIA,COLUMBIA,15,12,12,19,16,17,21,14,17,13,12,13,97,56,8,41,2019
CORTLAND,CORTLAND,8,6,5,0,5,0,5,0,5,0,0,5,26,0,22,0,2019
DELAWARE,DELAWARE,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2019
DUTCHESS,DUTCHESS,53,66,67,53,49,40,61,43,68,53,67,68,483,0,191,0,2019
ERIE,ERIE,160,147,139,120,135,134,116,121,126,107,106,109,1413,0,274,0,2019
ESSEX,ESSEX,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2019
FRANKLIN,FRANKLIN,13,13,9,14,11,11,8,13,10,5,10,15,114,0,38,0,2019
FULTON,FULTON,0,0,0,7,5,0,7,0,9,9,0,8,54,0,13,0,2019
GENESEE,GENESEE,11,12,15,11,11,8,8,7,6,5,0,7,84,40,8,0,2019
GREENE,GREENE,0,6,8,0,10,7,6,6,5,0,6,6,50,24,7,0,2019
HAMILTON,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
HERKIMER,HERKIMER,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,2019
JEFFERSON,JEFFERSON,20,17,20,16,18,16,18,17,17,14,17,11,202,19,7,0,2019
LEWIS,LEWIS,10,5,0,0,5,0,0,0,0,0,8,6,46,0,0,0,2019
LIVINGSTON,LIVINGSTON,13,9,17,11,9,10,6,6,11,8,8,6,95,0,18,0,2019
MADISON,MADISON,9,14,5,0,9,5,5,8,13,5,0,15,95,0,11,0,2019
MONROE,MONROE,267,242,237,208,219,234,162,183,185,155,120,174,2470,63,397,35,2019
MONTGOMERY,MONTGOMERY,31,21,29,22,25,25,13,13,20,12,10,28,231,36,11,0,2019
NASSAU,NASSAU,201,258,256,284,261,248,201,210,209,212,203,190,2235,0,492,0,2019
NEW YORK,NEW YORK,1462,1411,1424,1317,1358,1310,1282,1146,1978,1580,1212,1271,11941,85,6207,1416,2019
BRONX,BRONX,3165,3206,3242,3132,3106,3052,2818,2701,2721,2080,1605,1505,24047,65,12222,1574,2019
KINGS,KINGS,2270,2457,2566,2477,2413,2384,2231,1959,2285,1972,1552,1586,18946,123,9820,1396,2019
QUEENS,QUEENS,1539,1808,1745,1868,1775,1837,1560,1433,1698,1214,884,918,16473,60,3978,755,2019
RICHMOND,RICHMOND,167,184,193,205,200,190,160,143,213,162,157,157,1753,9,551,185,2019
NIAGARA,NIAGARA,48,35,45,40,33,43,33,26,38,26,43,41,397,41,59,0,2019
ONEIDA,ONEIDA,51,50,52,46,50,43,26,23,39,42,41,51,479,0,54,0,2019
ONONDAGA,ONONDAGA,178,176,162,190,149,167,164,146,244,147,119,127,1860,44,298,6,2019
ONTARIO,ONTARIO,32,37,33,23,38,20,32,25,15,17,11,38,297,53,9,0,2019
ORANGE,ORANGE,127,165,148,154,142,147,130,127,162,110,94,124,1425,224,187,9,2019
ORLEANS,ORLEANS,7,0,5,6,5,7,5,13,7,0,0,5,52,6,20,0,2019
OSWEGO,OSWEGO,68,60,62,59,62,45,36,42,57,42,60,97,655,0,76,0,2019
OTSEGO,OTSEGO,11,7,9,9,8,9,7,0,0,7,6,8,89,8,9,0,2019
PUTNAM,PUTNAM,5,11,0,6,7,7,6,7,5,5,7,0,44,13,25,0,2019
RENSSELAER,RENSSELAER,48,38,32,38,40,43,44,49,43,31,21,40,359,77,113,0,2019
ROCKLAND,ROCKLAND,51,55,58,70,67,59,85,74,227,106,61,72,1000,24,36,0,2019
SAINT LAWRENCE,SAINT LAWRENCE,44,48,28,27,30,33,39,32,25,36,29,64,443,5,46,7,2019
SARATOGA,SARATOGA,44,39,27,28,29,46,27,24,46,36,35,45,386,55,0,0,2019
SCHENECTADY,SCHENECTADY,39,42,32,45,33,37,40,28,33,25,24,33,281,0,182,0,2019
SCHOHARIE,SCHOHARIE,8,0,5,0,5,0,11,0,0,6,0,0,39,20,6,0,2019
SCHUYLER,SCHUYLER,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2019
SENECA,SENECA,8,11,0,7,6,9,9,6,9,11,12,13,83,0,22,0,2019
STEUBEN,STEUBEN,27,15,32,23,26,22,20,7,17,12,13,38,224,52,0,0,2019
SUFFOLK,SUFFOLK,281,317,311,387,330,366,366,332,410,348,358,398,3080,224,1386,11,2019
SULLIVAN,SULLIVAN,40,39,29,25,23,27,25,22,27,20,11,22,281,74,15,0,2019
TIOGA,TIOGA,0,0,0,0,0,0,0,5,5,0,6,0,22,5,7,0,2019
TOMPKINS,TOMPKINS,11,17,13,11,12,14,14,15,14,13,10,15,119,0,48,0,2019
ULSTER,ULSTER,34,28,46,34,42,39,57,49,46,34,28,45,338,120,0,0,2019
WARREN,WARREN,16,11,13,16,10,16,10,9,12,13,11,14,137,30,0,0,2019
WASHINGTON,WASHINGTON,13,14,15,7,22,13,11,12,8,8,7,16,150,18,0,0,2019
WAYNE,WAYNE,28,17,21,19,19,19,21,25,22,16,19,24,244,15,30,0,2019
WESTCHESTER,WESTCHESTER,188,156,187,182,173,168,145,167,190,150,185,168,1492,0,822,0,2019
WYOMING,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2019
YATES,YATES,5,0,0,0,5,8,0,0,8,0,0,7,40,5,6,0,2019
Albany,ALBANY,70,68,58,58,59,48,63,55,43,55,57,57,587,53,118,0,2020
Allegany,ALLEGANY,5,0,0,0,5,0,7,0,6,0,6,8,54,0,0,0,2020
Broome,BROOME,38,46,53,35,52,42,38,45,27,39,45,60,425,57,103,0,2020
Cattaraugus,CATTARAUGUS,6,6,0,10,0,6,0,7,7,10,8,20,84,5,11,0,2020
Cayuga,CAYUGA,14,13,10,14,13,8,8,8,7,8,7,11,67,48,24,0,2020
Chautauqua,CHAUTAUQUA,17,22,12,16,21,18,11,20,22,26,19,24,190,31,43,0,2020
Chemung,CHEMUNG,11,14,8,9,10,10,13,9,0,7,6,7,96,10,10,0,2020
Chenango,CHENANGO,6,7,8,7,0,7,5,0,7,0,5,8,74,0,0,0,2020
Clinton,CLINTON,14,16,20,13,8,15,5,12,16,17,9,17,147,20,11,0,2020
Columbia,COLUMBIA,9,7,12,10,10,12,15,13,14,9,11,13,70,38,15,28,2020
Cortland,CORTLAND,0,7,6,7,0,0,6,8,7,0,0,0,39,12,14,0,2020
Delaware,DELAWARE,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,2020
Dutchess,DUTCHESS,53,42,50,51,52,44,30,45,47,58,38,64,417,71,134,0,2020
Erie,ERIE,84,94,68,71,68,72,83,71,73,70,63,98,757,57,226,0,2020
Essex,ESSEX,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2020
Franklin,FRANKLIN,16,8,16,9,12,6,10,0,11,0,0,15,98,5,25,0,2020
Fulton,FULTON,0,11,6,11,5,10,0,5,7,9,8,0,75,8,8,0,2020
Genesee,GENESEE,12,10,9,12,5,11,7,0,8,7,0,0,70,27,10,0,2020
Greene,GREENE,0,0,0,8,0,10,6,8,8,0,0,9,42,23,7,0,2020
Hamilton,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Herkimer,HERKIMER,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,2020
Jefferson,JEFFERSON,24,22,12,35,20,24,22,15,19,22,11,21,217,22,28,0,2020
Lewis,LEWIS,0,0,0,5,0,0,0,0,0,0,0,5,28,0,0,0,2020
Livingston,LIVINGSTON,5,10,12,9,8,0,8,9,0,5,8,9,84,0,20,0,2020
Madison,MADISON,7,7,8,5,0,6,0,7,0,0,9,0,53,0,16,0,2020
Monroe,MONROE,115,144,132,114,141,112,116,94,145,116,94,130,1440,76,220,7,2020
Montgomery,MONTGOMERY,14,23,16,14,12,22,17,10,13,14,12,14,183,11,5,0,2020
Nassau,NASSAU,99,184,218,197,226,230,203,196,238,187,181,177,1753,245,477,0,2020
New York,NEW YORK,1253,1346,1298,1227,1204,1311,1184,1176,1844,1740,1300,1201,10980,89,5569,1478,2020
Bronx,BRONX,2692,2769,2772,2876,2752,2892,2653,2594,2420,2100,1635,1547,20989,62,11057,1402,2020
Kings,KINGS,1944,2034,2258,2320,2211,2182,2069,2011,2166,1953,1546,1627,17163,116,8675,1338,2020
Queens,QUEENS,1476,1478,1734,1654,1777,1692,1629,1474,1510,1233,890,915,15458,55,3543,744,2020
Richmond,RICHMOND,167,162,161,187,188,185,168,144,174,163,143,138,1577,7,469,199,2020
Niagara,NIAGARA,45,40,40,36,31,28,42,25,32,33,29,51,410,49,27,0,2020
Oneida,ONEIDA,37,37,36,38,35,27,26,24,26,31,35,53,362,15,68,0,2020
Onondaga,ONONDAGA,79,98,109,98,96,75,97,101,91,130,91,79,1116,43,122,0,2020
Ontario,ONTARIO,31,31,26,24,20,28,23,30,29,15,14,20,241,63,15,0,2020
Orange,ORANGE,132,120,138,117,150,112,137,102,127,110,57,102,1220,182,149,0,2020
Orleans,ORLEANS,8,0,6,8,0,5,6,10,9,0,6,0,58,14,8,0,2020
Oswego,OSWEGO,57,56,64,60,52,56,52,46,46,56,58,97,614,38,105,0,2020
Otsego,OTSEGO,8,7,0,8,9,0,10,0,0,0,0,6,54,7,17,0,2020
Putnam,PUTNAM,8,8,8,8,7,7,0,7,7,6,6,5,43,14,26,0,2020
Rensselaer,RENSSELAER,32,38,28,25,28,26,34,38,22,28,23,14,260,46,84,0,2020
Rockland,ROCKLAND,73,71,63,73,83,71,72,98,122,192,80,66,1073,22,37,0,2020
St. Lawrence,ST. LAWRENCE,29,37,40,25,23,22,37,24,26,20,27,54,340,21,54,5,2020
Saratoga,SARATOGA,40,40,33,31,30,21,38,26,29,43,36,43,367,63,23,0,2020
Schenectady,SCHENECTADY,28,29,34,25,19,20,32,32,29,27,19,34,219,45,103,0,2020
Schoharie,SCHOHARIE,0,0,5,6,0,0,0,5,0,0,0,6,42,0,6,0,2020
Schuyler,SCHUYLER,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2020
Seneca,SENECA,6,6,12,0,10,8,8,0,14,11,11,12,99,5,10,0,2020
Steuben,STEUBEN,24,20,15,23,16,21,20,19,7,12,9,37,201,35,22,0,2020
Suffolk,SUFFOLK,259,266,249,271,297,299,304,294,337,320,311,396,2660,234,1059,10,2020
Sullivan,SULLIVAN,20,27,33,21,19,21,27,17,25,16,15,18,219,50,15,7,2020
Tioga,TIOGA,0,0,0,5,0,0,0,5,8,0,0,0,42,0,0,0,2020
Tompkins,TOMPKINS,21,8,12,17,11,6,12,11,15,13,10,15,132,0,28,0,2020
Ulster,ULSTER,38,38,35,43,34,48,38,55,40,37,33,40,353,101,74,0,2020
Warren,WARREN,12,17,8,20,11,15,22,13,11,14,7,16,168,10,0,0,2020
Washington,WASHINGTON,12,6,8,7,9,15,18,16,10,9,12,13,113,19,17,0,2020
Wayne,WAYNE,14,21,16,21,16,21,18,17,30,20,17,21,216,14,35,0,2020
Westchester,WESTCHESTER,148,164,123,143,153,144,120,133,170,165,131,152,1177,49,728,5,2020
Wyoming,WYOMING,5,0,5,0,0,0,0,0,0,0,0,0,25,6,0,0,2020
Yates,YATES,0,0,0,0,0,0,0,0,0,0,0,5,17,0,5,0,2020
ALBANY,ALBANY,69,89,94,65,65,64,72,61,88,49,66,66,607,159,182,5,2021
ALLEGANY,ALLEGANY,9,8,5,5,0,7,0,0,6,6,0,11,64,13,7,5,2021
BROOME,BROOME,41,43,53,45,43,45,39,48,42,31,46,62,430,97,97,0,2021
CATTARAUGUS,CATTARAUGUS,7,8,8,7,15,8,10,6,8,10,11,17,99,10,26,0,2021
CAYUGA,CAYUGA,15,17,13,10,8,11,6,6,18,10,7,10,92,42,23,0,2021
CHAUTAUQUA,CHAUTAUQUA,21,14,21,14,19,27,20,17,23,22,21,21,195,38,49,8,2021
CHEMUNG,CHEMUNG,12,12,14,12,6,15,0,9,12,0,0,7,97,28,0,0,2021
CHENANGO,CHENANGO,8,8,5,13,9,6,9,6,14,16,0,20,113,10,6,0,2021
CLINTON,CLINTON,23,17,18,19,13,12,14,10,10,10,9,9,124,32,23,0,2021
COLUMBIA,COLUMBIA,15,9,9,16,8,11,11,10,18,9,5,5,78,25,15,17,2021
CORTLAND,CORTLAND,0,6,5,6,0,5,0,5,5,6,0,0,40,11,11,0,2021
DELAWARE,DELAWARE,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,0,2021
DUTCHESS,DUTCHESS,45,58,43,54,55,63,55,45,64,55,62,57,458,106,175,0,2021
ERIE,ERIE,157,155,143,124,109,114,132,140,166,127,104,112,1343,170,313,0,2021
ESSEX,ESSEX,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2021
FRANKLIN,FRANKLIN,17,13,10,15,10,10,9,11,7,8,0,6,109,12,20,0,2021
FULTON,FULTON,8,8,5,9,12,10,10,6,6,10,7,7,87,15,7,0,2021
GENESEE,GENESEE,13,18,13,12,9,11,12,9,10,7,8,6,99,41,10,0,2021
GREENE,GREENE,7,5,0,5,7,0,7,9,6,7,0,0,52,14,0,0,2021
HERKIMER,HERKIMER,0,5,0,0,0,0,0,0,0,0,0,5,30,7,0,0,2021
JEFFERSON,JEFFERSON,25,15,24,21,34,18,26,29,13,18,20,25,248,23,33,0,2021
LEWIS,LEWIS,0,0,0,0,6,0,0,0,0,0,0,0,34,0,0,0,2021
LIVINGSTON,LIVINGSTON,8,8,8,8,8,0,0,6,10,7,9,12,89,9,16,0,2021
MADISON,MADISON,13,10,5,9,0,5,8,0,12,0,6,6,71,0,24,0,2021
MONROE,MONROE,212,159,178,182,169,156,156,137,162,146,121,141,1792,164,342,0,2021
MONTGOMERY,MONTGOMERY,14,14,18,14,20,17,16,19,16,13,15,17,180,36,0,0,2021
NASSAU,NASSAU,77,120,157,195,192,228,215,206,211,197,164,159,1650,194,455,0,2021
NEW YORK,NEW YORK,1039,1204,1208,1215,1205,1134,1300,1181,2054,1637,1465,1254,11074,82,5391,1488,2021
BRONX,BRONX,2294,2530,2683,2700,2778,2693,2622,2601,2526,1934,1665,1609,20719,82,10796,1500,2021
KINGS,KINGS,1926,2030,2120,2355,2382,2205,2109,2105,2334,1940,1600,1663,17927,113,9039,1427,2021
QUEENS,QUEENS,1619,1711,1706,1909,1910,1832,1682,1770,1752,1315,989,957,17759,69,3552,861,2021
RICHMOND,RICHMOND,147,172,171,166,209,202,195,183,203,152,168,118,1701,12,490,210,2021
NIAGARA,NIAGARA,49,57,56,41,43,42,35,42,44,42,38,51,509,60,48,7,2021
ONEIDA,ONEIDA,27,48,33,35,40,39,24,37,40,27,28,52,376,56,46,0,2021
ONONDAGA,ONONDAGA,151,151,144,160,158,144,130,155,172,127,136,169,1696,89,234,5,2021
ONTARIO,ONTARIO,28,33,28,21,25,25,26,26,25,26,15,11,245,67,22,0,2021
ORANGE,ORANGE,103,122,110,142,124,144,116,139,135,114,99,82,1246,141,204,12,2021
ORLEANS,ORLEANS,0,5,5,7,9,10,10,10,10,0,7,8,61,26,6,0,2021
OSWEGO,OSWEGO,49,56,48,73,60,53,74,60,64,80,76,101,701,54,120,0,2021
OTSEGO,OTSEGO,5,5,0,0,0,5,0,0,0,0,0,0,20,6,12,0,2021
PUTNAM,PUTNAM,5,7,7,0,7,0,0,0,0,8,0,7,36,7,21,0,2021
RENSSELAER,RENSSELAER,37,42,46,32,24,38,37,50,26,36,26,28,307,88,80,6,2021
ROCKLAND,ROCKLAND,77,83,97,84,80,93,83,72,310,127,130,97,1365,37,31,0,2021
SAINT LAWRENCE,SAINT LAWRENCE,31,27,32,36,22,28,31,37,27,29,25,41,396,7,29,8,2021
SARATOGA,SARATOGA,32,36,36,34,32,23,38,36,37,33,24,45,353,67,33,0,2021
SCHENECTADY,SCHENECTADY,37,43,38,31,41,32,28,43,50,38,21,48,290,59,154,0,2021
SCHOHARIE,SCHOHARIE,6,5,5,7,5,0,0,0,5,0,0,7,40,12,12,0,2021
SCHUYLER,SCHUYLER,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2021
SENECA,SENECA,10,11,11,12,14,13,10,9,7,15,15,9,114,16,14,0,2021
STEUBEN,STEUBEN,22,21,23,17,18,14,19,21,26,14,23,27,206,54,24,0,2021
SUFFOLK,SUFFOLK,218,242,253,253,257,291,268,297,326,286,292,356,2388,239,1112,22,2021
SULLIVAN,SULLIVAN,18,29,33,35,19,28,30,17,30,15,22,27,257,60,27,8,2021
TIOGA,TIOGA,6,7,0,0,8,5,0,5,13,7,0,8,64,14,0,0,2021
TOMPKINS,TOMPKINS,16,16,22,23,19,13,17,13,19,9,8,24,128,25,73,0,2021
ULSTER,ULSTER,45,44,32,41,42,36,54,50,56,39,54,35,398,119,67,11,2021
WARREN,WARREN,31,11,13,20,24,25,26,15,29,13,17,14,212,41,7,7,2021
WASHINGTON,WASHINGTON,12,12,9,12,9,16,15,13,12,14,14,22,149,16,9,0,2021
WAYNE,WAYNE,14,20,25,18,20,25,21,22,36,21,13,28,245,23,37,0,2021
WESTCHESTER,WESTCHESTER,164,163,166,138,162,151,161,131,206,156,163,143,1357,102,688,0,2021
WYOMING,WYOMING,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,2021
YATES,YATES,0,0,0,0,0,0,0,0,0,7,0,0,24,0,10,0,2021
