County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
CAYUGA,CAYUGA,25,19,23,13,12,15,10,10,15,7,10,12,137,43,30,0,2016
CHAUTAUQUA,CHAUTAUQUA,29,22,17,14,24,19,22,11,15,13,12,23,187,0,48,0,2016
CHEMUNG,CHEMUNG,12,9,7,6,10,8,7,0,10,0,7,0,87,0,9,0,2016
CHENANGO,CHENANGO,15,9,12,8,5,8,5,6,6,8,10,13,100,10,16,0,2016
CLINTON,CLINTON,18,22,15,14,14,19,15,15,21,10,18,15,144,50,0,0,2016
COLUMBIA,COLUMBIA,14,16,12,20,14,8,14,16,11,6,13,22,113,40,8,36,2016
CORTLAND,CORTLAND,7,7,13,11,9,7,7,0,10,13,0,11,61,20,28,0,2016
DELAWARE,DELAWARE,8,5,0,5,5,6,8,0,5,0,0,0,44,0,17,0,2016
DUTCHESS,DUTCHESS,67,71,67,72,58,62,65,62,76,60,43,62,466,0,277,0,2016
ERIE,ERIE,191,200,183,169,166,179,159,162,185,141,96,140,1861,0,442,0,2016
ESSEX,ESSEX,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2016
FRANKLIN,FRANKLIN,10,11,12,10,13,8,14,9,7,6,9,15,141,0,11,0,2016
FULTON,FULTON,14,10,6,8,9,10,11,10,8,7,6,10,112,0,12,0,2016
GENESEE,GENESEE,10,0,9,0,9,7,0,0,7,0,0,8,62,18,5,0,2016
GREENE,GREENE,11,11,12,14,10,18,7,12,9,8,0,12,86,35,0,0,2016
HAMILTON,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
HERKIMER,HERKIMER,5,0,0,7,0,0,8,0,0,0,5,0,33,0,11,0,2016
JEFFERSON,JEFFERSON,18,19,22,25,19,9,10,16,11,16,19,19,210,10,8,0,2016
LEWIS,LEWIS,10,10,10,10,9,8,5,8,8,7,7,5,107,0,0,0,2016
LIVINGSTON,LIVINGSTON,12,14,17,11,14,11,14,8,11,10,12,13,120,31,12,0,2016
MADISON,MADISON,12,15,14,14,9,10,8,9,6,7,10,6,110,0,19,0,2016
